2015-07-01-19 44 50.692	-0.9723511 0.9056244 5.4642944
2015-07-01-19 44 50.698	-0.79263306 0.85206604 5.5880737
2015-07-01-19 44 50.702	-0.6593323 0.7913666 5.8570557
2015-07-01-19 44 50.707	-0.6652832 0.72709656 6.0724792
2015-07-01-19 44 50.712	-0.7212219 0.67948914 6.3319397
2015-07-01-19 44 50.717	-0.6986084 0.6164093 6.5295105
2015-07-01-19 44 50.722	-0.74264526 0.58784485 6.5354614
2015-07-01-19 44 50.727	-0.7712097 0.5818939 6.5937805
2015-07-01-19 44 50.734	-0.9937744 0.4854889 6.749695
2015-07-01-19 44 50.738	-1.254425 0.33195496 6.622345
2015-07-01-19 44 50.742	-1.254425 0.33195496 6.622345
2015-07-01-19 44 50.747	-1.523407 0.12486267 6.615204
2015-07-01-19 44 50.752	-2.1125488 -0.06794739 7.0412903
2015-07-01-19 44 50.758	-2.1125488 -0.06794739 7.0412903
2015-07-01-19 44 50.762	-2.4231873 -0.17149353 7.642334
2015-07-01-19 44 50.767	-2.717163 -0.20124817 8.51712
2015-07-01-19 44 50.772	-3.1194458 -0.32502747 10.589233
2015-07-01-19 44 50.778	-3.3693848 -0.4214325 11.818695
2015-07-01-19 44 50.782	-3.5407715 -0.6356659 13.051727
2015-07-01-19 44 50.787	-3.627655 -0.86180115 14.081238
2015-07-01-19 44 50.793	-3.3717651 -0.94273376 14.957214
2015-07-01-19 44 50.798	-2.9004517 -1.0867462 15.477325
2015-07-01-19 44 50.802	-2.395813 -0.9582062 15.671326
2015-07-01-19 44 50.807	-1.7697754 -0.873703 15.501129
2015-07-01-19 44 50.813	-1.4008179 -0.86894226 15.0286255
2015-07-01-19 44 50.818	-1.4222412 -1.021286 14.389496
2015-07-01-19 44 50.823	-1.8852234 -1.2640839 13.399261
2015-07-01-19 44 50.828	-2.2767944 -1.4771271 12.612549
2015-07-01-19 44 50.833	-2.473175 -1.3712006 11.650879
2015-07-01-19 44 50.838	-2.4231873 -0.89512634 10.820129
2015-07-01-19 44 50.843	-2.197052 -0.3131256 10.141724
2015-07-01-19 44 50.848	-2.0839844 0.16889954 9.7751465
2015-07-01-19 44 50.853	-2.1637268 0.4033661 9.6716
2015-07-01-19 44 50.858	-2.2696533 0.35932922 9.851318
2015-07-01-19 44 50.863	-2.2470398 0.17485046 10.363098
2015-07-01-19 44 50.868	-2.1803894 -0.06199646 11.0784
2015-07-01-19 44 50.873	-2.075653 -0.2571869 12.150757
2015-07-01-19 44 50.879	-1.8614197 -0.42619324 13.4552
2015-07-01-19 44 50.884	-1.7245483 -0.5428314 14.640625
2015-07-01-19 44 50.888	-1.7507324 -0.66423035 15.609436
2015-07-01-19 44 50.893	-1.8483276 -0.7999115 16.294983
2015-07-01-19 44 50.899	-1.8923645 -0.77967834 16.749634
